CPU_name,CPU_core_count,CPU_core_clock,CPU_boost_clock,CPU_graphics
Intel Xeon E5-2690 V3,12,2.6,3.5,
Intel Pentium G4600,2,3.6,,Intel HD Graphics 630
Intel Core i5-8500,6,3,4.1,Intel UHD Graphics 630
AMD A10-7700K,4,3.4,3.8,Radeon R7 (on-die)
Intel Core i5-7500,4,3.4,3.8,Intel HD Graphics 630
Intel Core i5-2380P,4,3.1,,
Intel Xeon E5-2660 V3,10,2.6,3.3,
AMD Phenom II X4 955,4,3.2,,
AMD Athlon II 160u,1,1.8,,
Intel Celeron G4930,2,3.2,,Intel UHD Graphics 610
Intel Xeon E5-2640 V4,10,2.4,3.4,
Intel Xeon E3-1270 V3,4,3.5,3.9,
Intel Xeon E3-1230 V3,4,3.3,3.7,
Intel Core i5-3350P,4,3.1,,
Intel Xeon E-2136,6,3.3,4.5,
AMD A12-9800,4,3.8,4.2,Radeon R7 (on-die)
Intel Pentium Gold G6405,2,4.1,,Intel UHD Graphics 610
Intel Core i7-7700T,4,2.9,3.8,Intel HD Graphics 630
Intel Xeon E5-2697 V3,14,2.6,3.6,
AMD Ryzen 3 1200 (12nm),4,3.1,3.4,
Intel Xeon E5-2695 V4,18,2.1,3.3,
Intel Xeon E5-2630 V4,10,2.2,3.1,
Intel Core 2 Quad Q6600,4,2.4,,
Intel Xeon E5-1660 V3,8,3,3.5,
